Order_ID,Distribution_Center_ID,Customer_ZIP,Delivery_Type,Service_Type,Cost,Event_Type,Holiday_Flag,Carrier_Reliability_Score
ORD0052,DC1,76014,Air,Standard Overnight,46.65,Graduation,1,
ORD0053,DC5,96739,Ground,Standard Overnight,131.55,None,1,
ORD0054,DC5,51702,Ground,Standard Overnight,175.52,None,1,
ORD0055,DC1,03992,Air,Priority Overnight,138.24,First Communion,1,
ORD0056,DC2,10212,Air,Standard Overnight,163.7,Retirement,1,
ORD0057,DC3,34016,Air,Priority Overnight,69.21,Birthday,1,
ORD0058,DC6,03017,Air,Ground,54.54,Bridal Shower,0,
ORD0059,DC4,96406,Air,Ground,162.29,Wedding,0,
ORD0060,DC4,95946,Air,Priority Overnight,217.85,Gender Reveal,0,
ORD0061,DC2,15285,Ground,Standard Overnight,13.13,First Communion,1,
ORD0062,DC3,25415,Ground,Standard Overnight,69.96,First Communion,1,
ORD0063,DC6,49334,Air,Priority Overnight,103.06,Retirement,0,
ORD0064,DC4,24868,Ground,Ground,218.09,Bridal Shower,0,
ORD0065,DC4,48519,Ground,Priority Overnight,161.84,Graduation,0,
ORD0066,DC5,73658,Air,Standard Overnight,79.91,Bridal Shower,1,
ORD0067,DC3,87958,Air,Ground,202.99,Graduation,0,
ORD0068,DC2,62536,Ground,Ground,257.56,Graduation,0,
ORD0069,DC1,34998,Air,Priority Overnight,283.37,Retirement,1,
ORD0070,DC2,91842,Air,Priority Overnight,103.18,Wedding,0,
ORD0071,DC5,90539,Ground,Priority Overnight,45.4,Bridal Shower,1,
ORD0072,DC1,49697,Air,Ground,88.23,Wedding,1,
ORD0073,DC3,89919,Air,Standard Overnight,235.73,Holiday,1,
ORD0074,DC4,03901,Ground,Standard Overnight,249.11,Bridal Shower,0,
ORD0075,DC4,12359,Ground,Ground,42.89,First Communion,1,
ORD0076,DC6,12042,Air,Ground,296.57,Graduation,0,
ORD0077,DC2,07987,Ground,Standard Overnight,112.36,Retirement,1,
ORD0078,DC4,22427,Air,Standard Overnight,54.71,Graduation,0,
ORD0079,DC3,12557,Ground,Standard Overnight,182.59,Retirement,1,
ORD0080,DC6,23470,Ground,Standard Overnight,223.46,Birthday,0,
ORD0081,DC6,08142,Ground,Standard Overnight,207.14,Retirement,1,
ORD0082,DC6,95718,Ground,Priority Overnight,135.37,Retirement,1,
ORD0083,DC2,77178,Air,Standard Overnight,77.34,Birthday,1,
ORD0084,DC3,97551,Ground,Standard Overnight,158.91,First Communion,0,
ORD0085,DC4,18397,Air,Ground,190.89,Bridal Shower,1,
ORD0086,DC1,64102,Ground,Priority Overnight,123.36,Gender Reveal,1,
ORD0087,DC3,66691,Ground,Priority Overnight,282.05,Birthday,1,
ORD0088,DC3,65806,Air,Ground,176.83,Gender Reveal,0,
ORD0089,DC6,80410,Air,Ground,137.86,Holiday,0,
ORD0090,DC2,94538,Ground,Priority Overnight,20.04,Gender Reveal,1,
ORD0091,DC3,73238,Air,Priority Overnight,192.5,Holiday,1,
ORD0092,DC3,63295,Air,Ground,159.74,Retirement,1,
ORD0093,DC4,62008,Air,Standard Overnight,231.88,Bridal Shower,1,
ORD0094,DC6,15062,Ground,Priority Overnight,42.97,Bridal Shower,1,
ORD0095,DC5,44173,Ground,Ground,137.41,Gender Reveal,0,
ORD0096,DC1,16297,Ground,Priority Overnight,252.26,None,1,
ORD0097,DC2,59307,Ground,Standard Overnight,288.89,Holiday,0,
ORD0098,DC5,28107,Air,Standard Overnight,234.43,Holiday,0,
ORD0099,DC5,95461,Ground,Ground,31.52,Gender Reveal,1,
ORD0100,DC6,19817,Air,Priority Overnight,20.66,Bridal Shower,0,
ORD0101,DC5,98293,Air,Priority Overnight,236.08,Birthday,0,
ORD0102,DC6,67994,Air,Standard Overnight,101.75,First Communion,0,
ORD0103,DC4,07844,Ground,Priority Overnight,230.96,Graduation,0,
ORD0104,DC2,65770,Ground,Priority Overnight,125.1,Wedding,1,
ORD0105,DC4,97070,Air,Priority Overnight,110.37,First Communion,0,
ORD0106,DC1,23500,Ground,Priority Overnight,67.73,Gender Reveal,0,
ORD0107,DC4,21681,Ground,Standard Overnight,179.53,Retirement,1,
ORD0108,DC3,32614,Air,Ground,246.09,Retirement,0,
ORD0109,DC2,23104,Air,Priority Overnight,128.79,Graduation,1,
ORD0110,DC2,08531,Air,Priority Overnight,74.73,None,0,
ORD0111,DC1,94186,Ground,Standard Overnight,113.74,Gender Reveal,0,
ORD0112,DC2,57597,Ground,Ground,233.27,Birthday,1,
ORD0113,DC2,08362,Ground,Priority Overnight,125.24,Gender Reveal,1,
ORD0114,DC5,79394,Ground,Priority Overnight,131.04,Bridal Shower,0,
ORD0115,DC2,91009,Air,Priority Overnight,189.04,None,0,
ORD0116,DC6,91119,Ground,Ground,155.24,Bridal Shower,0,
ORD0117,DC2,33486,Ground,Standard Overnight,147.82,First Communion,0,
ORD0118,DC4,21284,Ground,Priority Overnight,256.01,Holiday,1,
ORD0119,DC5,73172,Ground,Priority Overnight,84.73,Retirement,1,
ORD0120,DC1,80599,Ground,Ground,256.73,None,0,
ORD0121,DC4,45399,Air,Priority Overnight,148.54,Retirement,1,
ORD0122,DC6,67542,Air,Ground,64.66,Retirement,1,
ORD0123,DC4,29709,Air,Standard Overnight,205.93,Wedding,0,
ORD0124,DC4,80492,Air,Standard Overnight,283.33,None,1,
ORD0125,DC6,59820,Ground,Priority Overnight,137.22,Holiday,1,
ORD0126,DC2,23935,Ground,Priority Overnight,282.28,Wedding,1,
ORD0127,DC2,18580,Ground,Ground,247.26,Graduation,1,
ORD0128,DC5,25008,Air,Priority Overnight,30.16,Wedding,1,
ORD0129,DC6,77141,Air,Ground,50.63,First Communion,1,
ORD0130,DC1,62218,Air,Standard Overnight,256.75,First Communion,0,
ORD0131,DC5,62569,Ground,Ground,33.19,Retirement,0,
ORD0132,DC2,37543,Air,Ground,280.57,Wedding,1,
ORD0133,DC3,30948,Ground,Priority Overnight,41.65,First Communion,0,
ORD0134,DC6,84008,Air,Ground,280.24,Graduation,1,
ORD0135,DC2,71352,Air,Ground,132.96,Retirement,1,
ORD0136,DC1,89031,Ground,Standard Overnight,63.04,Graduation,0,
ORD0137,DC3,11733,Air,Ground,115.05,None,0,
ORD0138,DC6,42163,Air,Standard Overnight,27.4,Retirement,0,
ORD0139,DC4,43133,Ground,Standard Overnight,26.02,Holiday,0,
ORD0140,DC4,06009,Ground,Ground,46.82,Bridal Shower,1,
ORD0141,DC6,81335,Air,Standard Overnight,196.23,First Communion,0,
ORD0142,DC5,60880,Air,Priority Overnight,42.36,None,1,
ORD0143,DC2,05697,Ground,Standard Overnight,36.68,Wedding,0,
ORD0144,DC6,95255,Ground,Standard Overnight,41.21,Holiday,1,
ORD0145,DC5,43294,Air,Ground,288.03,Birthday,0,
ORD0146,DC3,97120,Air,Ground,63.43,Birthday,0,
ORD0147,DC1,24677,Ground,Priority Overnight,89.61,Gender Reveal,0,
ORD0148,DC3,93831,Air,Standard Overnight,71.77,Graduation,0,
ORD0149,DC4,47241,Air,Ground,262.96,Gender Reveal,0,
ORD0150,DC2,51346,Air,Standard Overnight,202.7,Wedding,0,
ORD0151,DC5,95049,Ground,Priority Overnight,238.92,None,0,
ORD0152,DC4,13785,Ground,Priority Overnight,297.09,Wedding,1,
ORD0153,DC5,26687,Air,Ground,105.15,Bridal Shower,1,
ORD0154,DC3,93717,Ground,Ground,153.55,Retirement,1,
ORD0155,DC3,88996,Ground,Priority Overnight,56.85,Retirement,1,
ORD0156,DC3,10626,Ground,Priority Overnight,73.24,First Communion,1,
ORD0157,DC5,59180,Air,Ground,14.28,None,0,
ORD0158,DC4,29378,Ground,Standard Overnight,189.33,Graduation,1,
ORD0159,DC3,29950,Air,Standard Overnight,29.05,Bridal Shower,1,
ORD0160,DC5,49962,Air,Priority Overnight,33.54,Bridal Shower,1,
ORD0161,DC3,56873,Air,Standard Overnight,151.15,Retirement,1,
ORD0162,DC6,07803,Air,Priority Overnight,85.53,Bridal Shower,0,
ORD0163,DC5,00746,Ground,Ground,89.49,Gender Reveal,1,
ORD0164,DC5,60790,Air,Standard Overnight,156.75,Wedding,0,
ORD0165,DC6,09543,Air,Ground,41.43,Gender Reveal,1,
ORD0166,DC6,46170,Ground,Standard Overnight,35.31,First Communion,0,
ORD0167,DC2,05104,Air,Priority Overnight,281.51,Birthday,1,
ORD0168,DC5,72579,Ground,Ground,114.54,Retirement,0,
ORD0169,DC6,36874,Ground,Ground,81.91,Birthday,0,
ORD0170,DC4,83309,Ground,Priority Overnight,90.76,Gender Reveal,1,
ORD0171,DC4,99797,Air,Standard Overnight,228.09,Retirement,0,
ORD0172,DC1,07100,Ground,Standard Overnight,95.48,Graduation,1,
ORD0173,DC4,34972,Air,Priority Overnight,20.05,Holiday,1,
ORD0174,DC3,89018,Ground,Priority Overnight,233.74,Gender Reveal,1,
ORD0175,DC6,08630,Ground,Ground,259.36,Retirement,1,
ORD0176,DC2,96314,Air,Standard Overnight,135.24,First Communion,0,
ORD0177,DC2,73834,Air,Ground,159.09,Holiday,0,
ORD0178,DC4,34639,Air,Standard Overnight,36.86,None,1,
ORD0179,DC2,31430,Air,Priority Overnight,296.03,Retirement,1,
ORD0180,DC5,12098,Air,Priority Overnight,260.48,None,0,
ORD0181,DC2,22026,Ground,Standard Overnight,44.31,Graduation,1,
ORD0182,DC4,42202,Ground,Ground,47.31,First Communion,0,
ORD0183,DC3,65406,Air,Standard Overnight,101.91,First Communion,0,
ORD0184,DC5,23543,Air,Priority Overnight,36.58,Gender Reveal,0,
ORD0185,DC5,93735,Ground,Priority Overnight,124.58,Gender Reveal,1,
ORD0186,DC6,64151,Ground,Ground,196.73,Retirement,1,
ORD0187,DC1,26697,Ground,Ground,117.25,First Communion,1,
ORD0188,DC2,79674,Ground,Ground,202.48,Wedding,0,
ORD0189,DC4,68043,Air,Priority Overnight,96.64,Birthday,0,
ORD0190,DC1,31613,Air,Priority Overnight,43.82,Birthday,1,
ORD0191,DC2,08369,Air,Priority Overnight,253.0,Retirement,0,
ORD0192,DC4,41866,Air,Ground,249.76,Bridal Shower,1,
ORD0193,DC1,85147,Ground,Ground,295.68,Wedding,0,
ORD0194,DC4,80452,Air,Standard Overnight,82.78,First Communion,1,
ORD0195,DC5,26193,Ground,Priority Overnight,189.79,Holiday,1,
ORD0196,DC5,12324,Ground,Ground,202.51,Graduation,0,
ORD0197,DC4,21417,Air,Standard Overnight,285.81,Holiday,0,
ORD0198,DC5,13924,Ground,Priority Overnight,152.3,Retirement,1,
ORD0199,DC6,42206,Air,Ground,179.23,Retirement,0,
ORD0200,DC2,39748,Air,Priority Overnight,21.08,Birthday,0,
ORD0201,DC2,09307,Ground,Standard Overnight,68.41,Wedding,0,
ORD0202,DC5,40086,Air,Priority Overnight,251.86,Gender Reveal,1,
ORD0203,DC3,74771,Air,Priority Overnight,63.19,Retirement,1,
ORD0204,DC3,53772,Air,Priority Overnight,112.04,Bridal Shower,1,
ORD0205,DC1,94804,Ground,Ground,108.45,None,0,
ORD0206,DC2,76995,Ground,Ground,138.16,Wedding,1,
ORD0207,DC6,36992,Air,Ground,109.75,Birthday,0,
ORD0208,DC5,92718,Air,Ground,249.96,None,1,
ORD0209,DC4,14626,Ground,Ground,197.22,Birthday,0,
ORD0210,DC6,71029,Air,Priority Overnight,290.25,Wedding,1,
ORD0211,DC3,70232,Air,Ground,207.67,Birthday,0,
ORD0212,DC1,10227,Air,Priority Overnight,70.23,Birthday,1,
ORD0213,DC2,45045,Air,Priority Overnight,223.04,None,0,
ORD0214,DC6,46423,Air,Standard Overnight,212.84,Birthday,1,
ORD0215,DC5,28515,Ground,Priority Overnight,285.81,Retirement,1,
ORD0216,DC1,35712,Ground,Ground,58.27,Bridal Shower,1,
ORD0217,DC1,41727,Ground,Priority Overnight,20.36,Retirement,1,
ORD0218,DC5,95489,Ground,Standard Overnight,87.89,None,0,
ORD0219,DC1,13634,Air,Standard Overnight,16.5,Graduation,1,
ORD0220,DC3,89282,Ground,Standard Overnight,227.41,Retirement,0,
ORD0221,DC5,38947,Ground,Ground,229.34,None,1,
ORD0222,DC6,77628,Air,Ground,24.47,Birthday,0,
ORD0223,DC1,40983,Ground,Ground,84.07,Retirement,1,
ORD0224,DC5,29715,Air,Ground,76.34,First Communion,0,
ORD0225,DC1,49886,Ground,Standard Overnight,97.66,First Communion,0,
ORD0226,DC1,17244,Air,Standard Overnight,142.1,Wedding,1,
ORD0227,DC6,51997,Air,Ground,247.05,Wedding,0,
ORD0228,DC3,56697,Ground,Ground,95.17,Graduation,0,
ORD0229,DC2,75627,Air,Priority Overnight,194.21,Birthday,1,
ORD0230,DC2,39924,Ground,Standard Overnight,74.88,Wedding,1,
ORD0231,DC5,10987,Air,Standard Overnight,295.17,Birthday,0,
ORD0232,DC5,20508,Air,Priority Overnight,170.22,Holiday,0,
ORD0233,DC1,28721,Ground,Ground,89.39,Retirement,0,
ORD0234,DC5,45453,Air,Standard Overnight,118.85,First Communion,0,
ORD0235,DC3,29020,Ground,Ground,190.55,Retirement,1,
ORD0236,DC2,97541,Ground,Ground,295.85,None,0,
ORD0237,DC5,95235,Air,Priority Overnight,85.2,Graduation,1,
ORD0238,DC5,71415,Ground,Priority Overnight,250.8,Wedding,1,
ORD0239,DC3,49388,Ground,Priority Overnight,181.78,Retirement,0,
ORD0240,DC3,63119,Air,Standard Overnight,36.1,None,0,
ORD0241,DC2,40108,Ground,Priority Overnight,74.73,Retirement,1,
ORD0242,DC1,55385,Air,Ground,215.32,None,1,
ORD0243,DC6,16878,Ground,Standard Overnight,274.66,Birthday,0,
ORD0244,DC6,00546,Air,Standard Overnight,14.16,Birthday,0,
ORD0245,DC3,11045,Air,Priority Overnight,133.11,Bridal Shower,0,
ORD0246,DC4,23011,Air,Ground,102.8,Holiday,1,
ORD0247,DC3,44958,Ground,Ground,62.94,Holiday,1,
ORD0248,DC6,92306,Ground,Standard Overnight,182.12,Wedding,1,
ORD0249,DC3,47320,Ground,Standard Overnight,198.24,Retirement,1,
ORD0250,DC6,10885,Ground,Priority Overnight,104.89,First Communion,0,
ORD0251,DC2,54156,Ground,Standard Overnight,286.54,Graduation,0,
ORD0252,DC4,10645,Air,Ground,146.77,Holiday,0,
ORD0253,DC4,25997,Air,Standard Overnight,136.63,Retirement,0,
ORD0254,DC1,92133,Air,Standard Overnight,291.89,Birthday,1,
ORD0255,DC6,71841,Ground,Priority Overnight,49.61,Bridal Shower,0,
ORD0256,DC1,14847,Air,Ground,65.48,Bridal Shower,1,
ORD0257,DC4,54746,Ground,Ground,238.75,Birthday,0,
ORD0258,DC5,44084,Ground,Ground,13.65,Holiday,0,
ORD0259,DC4,19699,Ground,Standard Overnight,150.97,Holiday,1,
ORD0260,DC3,19335,Ground,Priority Overnight,128.04,Bridal Shower,1,
ORD0261,DC5,72118,Ground,Ground,155.5,Graduation,1,
ORD0262,DC4,99598,Ground,Priority Overnight,163.37,First Communion,1,
ORD0263,DC3,17599,Air,Standard Overnight,265.0,First Communion,0,
ORD0264,DC4,83280,Ground,Ground,156.6,Bridal Shower,1,
ORD0265,DC6,47093,Ground,Priority Overnight,43.01,Graduation,1,
ORD0266,DC6,26317,Air,Ground,249.82,Wedding,0,
ORD0267,DC5,20263,Ground,Standard Overnight,63.73,Graduation,0,
ORD0268,DC5,56905,Air,Standard Overnight,235.09,Gender Reveal,1,
ORD0269,DC1,73757,Air,Standard Overnight,267.69,Wedding,0,
ORD0270,DC4,43222,Air,Ground,147.97,First Communion,0,
ORD0271,DC1,23848,Ground,Priority Overnight,276.75,Gender Reveal,1,
ORD0272,DC5,58358,Air,Priority Overnight,237.76,Gender Reveal,0,
ORD0273,DC6,42632,Ground,Ground,193.22,None,1,
ORD0274,DC1,33103,Air,Priority Overnight,174.11,Graduation,0,
ORD0275,DC1,14847,Air,Ground,18.44,Gender Reveal,0,
ORD0276,DC6,91702,Ground,Standard Overnight,174.15,Holiday,0,
ORD0277,DC1,50353,Ground,Priority Overnight,42.93,Graduation,1,
ORD0278,DC3,43342,Ground,Priority Overnight,289.83,Graduation,1,
ORD0279,DC3,22025,Ground,Ground,233.26,None,0,
ORD0280,DC5,22370,Air,Priority Overnight,244.48,Gender Reveal,0,
ORD0281,DC1,38592,Ground,Ground,122.56,Wedding,0,
ORD0282,DC3,53744,Air,Standard Overnight,91.04,Wedding,0,
ORD0283,DC6,52852,Air,Ground,101.13,Bridal Shower,1,
ORD0284,DC3,22131,Ground,Ground,291.24,Gender Reveal,0,
ORD0285,DC1,32414,Air,Ground,181.93,Retirement,0,
ORD0286,DC2,33793,Ground,Standard Overnight,230.31,Wedding,1,
ORD0287,DC3,53508,Ground,Standard Overnight,215.02,Birthday,0,
ORD0288,DC6,05785,Air,Priority Overnight,62.48,Holiday,1,
ORD0289,DC4,02071,Air,Priority Overnight,176.6,Graduation,0,
ORD0290,DC6,41746,Air,Ground,151.93,Wedding,1,
ORD0291,DC2,11962,Ground,Ground,149.04,First Communion,1,
ORD0292,DC1,40235,Ground,Ground,250.57,Bridal Shower,1,
ORD0293,DC1,66457,Ground,Ground,228.93,Gender Reveal,1,
ORD0294,DC6,39605,Ground,Priority Overnight,190.33,First Communion,0,
ORD0295,DC5,44688,Ground,Priority Overnight,117.2,Graduation,1,
ORD0296,DC3,89329,Ground,Ground,224.9,Retirement,0,
ORD0297,DC3,95415,Ground,Ground,181.93,Graduation,1,
ORD0298,DC6,83649,Ground,Priority Overnight,74.61,Wedding,0,
ORD0299,DC5,08426,Air,Ground,68.55,First Communion,0,
ORD0300,DC5,92576,Ground,Ground,277.92,Holiday,0,
ORD0301,DC4,96571,Air,Standard Overnight,212.58,Birthday,0,
ORD0302,DC6,62335,Air,Ground,36.05,Birthday,0,
ORD0303,DC2,96170,Ground,Standard Overnight,21.81,Birthday,0,
ORD0304,DC2,83276,Air,Priority Overnight,289.54,Retirement,1,
ORD0305,DC4,56791,Air,Priority Overnight,197.47,Graduation,1,
ORD0306,DC6,12295,Ground,Standard Overnight,173.03,Wedding,1,
ORD0307,DC6,05287,Air,Ground,256.41,Holiday,0,
ORD0308,DC2,01163,Air,Priority Overnight,299.37,First Communion,0,
ORD0309,DC6,79998,Ground,Standard Overnight,281.9,None,0,
ORD0310,DC6,98875,Air,Ground,82.68,Birthday,0,
ORD0311,DC3,84471,Air,Standard Overnight,190.26,Retirement,0,
ORD0312,DC6,33331,Air,Priority Overnight,57.67,Birthday,0,
ORD0313,DC4,71314,Air,Priority Overnight,18.89,First Communion,0,
ORD0314,DC4,91368,Air,Ground,101.41,Holiday,1,
ORD0315,DC5,08008,Ground,Priority Overnight,235.43,None,0,
ORD0316,DC4,88061,Ground,Standard Overnight,279.32,Graduation,0,
ORD0317,DC3,92170,Ground,Priority Overnight,273.42,Holiday,0,
ORD0318,DC3,46406,Ground,Ground,110.61,Birthday,1,
ORD0319,DC4,49625,Air,Standard Overnight,225.95,Retirement,0,
ORD0320,DC3,86695,Air,Standard Overnight,27.1,Retirement,1,
ORD0321,DC1,87684,Air,Priority Overnight,265.05,Graduation,1,
ORD0322,DC1,24878,Ground,Priority Overnight,280.22,Graduation,0,
ORD0323,DC2,48277,Ground,Ground,242.15,Gender Reveal,0,
ORD0324,DC3,99256,Ground,Priority Overnight,45.91,Retirement,0,
ORD0325,DC1,02142,Air,Ground,36.63,None,1,
ORD0326,DC1,52282,Air,Standard Overnight,216.07,Gender Reveal,1,
ORD0327,DC1,60492,Air,Priority Overnight,177.26,None,1,
ORD0328,DC3,71675,Air,Standard Overnight,109.68,Retirement,1,
ORD0329,DC3,40742,Ground,Standard Overnight,210.85,None,1,
ORD0330,DC4,69000,Air,Ground,15.54,Gender Reveal,0,
ORD0331,DC3,76802,Air,Priority Overnight,243.61,Graduation,1,
ORD0332,DC3,13689,Ground,Ground,52.21,Wedding,1,
ORD0333,DC1,81757,Ground,Standard Overnight,224.92,None,1,
ORD0334,DC4,10255,Air,Standard Overnight,174.85,Birthday,0,
ORD0335,DC3,48574,Air,Ground,101.9,Retirement,0,
ORD0336,DC5,99776,Air,Priority Overnight,279.27,Graduation,0,
ORD0337,DC1,76926,Air,Priority Overnight,184.39,Birthday,0,
ORD0338,DC5,15120,Air,Standard Overnight,154.22,Gender Reveal,1,
ORD0339,DC3,47293,Ground,Ground,74.49,Bridal Shower,0,
ORD0340,DC1,32817,Air,Priority Overnight,267.82,Graduation,1,
ORD0341,DC6,02003,Ground,Priority Overnight,26.7,Graduation,0,
ORD0342,DC6,39549,Ground,Standard Overnight,184.36,Birthday,0,
ORD0343,DC1,17963,Ground,Priority Overnight,277.72,None,0,
ORD0344,DC2,90300,Air,Ground,243.36,Retirement,1,
ORD0345,DC5,59687,Air,Ground,139.51,Retirement,0,
ORD0346,DC3,52082,Air,Standard Overnight,116.9,Bridal Shower,0,
ORD0347,DC1,07661,Air,Priority Overnight,115.12,Retirement,0,
ORD0348,DC3,97812,Air,Ground,279.31,Holiday,0,
ORD0349,DC4,54861,Ground,Standard Overnight,101.37,Wedding,1,
ORD0350,DC5,67572,Ground,Ground,139.89,Wedding,1,
ORD0351,DC2,90940,Ground,Ground,127.92,Graduation,0,
ORD0352,DC6,10755,Ground,Standard Overnight,187.53,Birthday,0,
ORD0353,DC2,12523,Air,Standard Overnight,127.55,Graduation,1,
ORD0354,DC3,45856,Air,Ground,113.39,Wedding,0,
ORD0355,DC3,03093,Air,Priority Overnight,73.7,First Communion,1,
ORD0356,DC1,59502,Ground,Priority Overnight,224.79,Birthday,1,
ORD0357,DC4,38973,Air,Priority Overnight,134.19,Wedding,0,
ORD0358,DC4,45167,Air,Ground,177.86,Wedding,0,
ORD0359,DC1,22866,Ground,Priority Overnight,55.73,Retirement,0,
ORD0360,DC6,67217,Air,Standard Overnight,280.44,First Communion,1,
ORD0361,DC3,63221,Air,Priority Overnight,175.99,None,1,
ORD0362,DC1,58912,Ground,Ground,190.53,Wedding,0,
ORD0363,DC1,79689,Ground,Ground,125.18,Retirement,1,
ORD0364,DC3,13874,Ground,Ground,32.22,Wedding,0,
ORD0365,DC6,89279,Ground,Standard Overnight,46.94,Birthday,0,
ORD0366,DC5,31074,Air,Standard Overnight,148.92,Graduation,1,
ORD0367,DC2,56701,Air,Standard Overnight,136.56,Wedding,1,
ORD0368,DC4,16890,Air,Standard Overnight,73.67,Bridal Shower,0,
ORD0369,DC3,16661,Ground,Priority Overnight,82.21,Gender Reveal,0,
ORD0370,DC2,97172,Air,Priority Overnight,160.82,Bridal Shower,0,
ORD0371,DC4,02269,Ground,Priority Overnight,239.36,First Communion,0,
ORD0372,DC5,31820,Air,Ground,211.92,Graduation,0,
ORD0373,DC6,41476,Ground,Priority Overnight,171.61,Holiday,1,
ORD0374,DC6,98768,Ground,Priority Overnight,215.86,Birthday,1,
ORD0375,DC5,51114,Air,Standard Overnight,56.89,Gender Reveal,0,
ORD0376,DC2,30306,Ground,Priority Overnight,42.58,First Communion,1,
ORD0377,DC3,72430,Ground,Standard Overnight,96.68,Holiday,0,
ORD0378,DC6,88750,Ground,Standard Overnight,178.81,Birthday,0,
ORD0379,DC2,32912,Ground,Priority Overnight,218.18,Wedding,0,
ORD0380,DC3,57579,Ground,Standard Overnight,117.04,Retirement,1,
ORD0381,DC2,43656,Air,Priority Overnight,221.86,None,0,
ORD0382,DC5,81350,Ground,Standard Overnight,231.3,Retirement,1,
ORD0383,DC6,83395,Ground,Priority Overnight,75.51,Graduation,1,
ORD0384,DC5,07977,Air,Priority Overnight,209.19,Bridal Shower,0,
ORD0385,DC3,22136,Air,Ground,61.79,Graduation,0,
ORD0386,DC3,89922,Air,Standard Overnight,61.29,Gender Reveal,1,
ORD0387,DC3,25860,Ground,Standard Overnight,30.26,Graduation,0,
ORD0388,DC6,31990,Ground,Priority Overnight,203.31,Wedding,0,
ORD0389,DC5,12142,Air,Ground,94.27,First Communion,1,
ORD0390,DC2,74287,Ground,Standard Overnight,110.56,Retirement,0,
