Transaction_ID,Order_ID,Carrier_ID,Route_ID,Shipping_Cost,Transaction_Date,Scheduled_Delivery_Date,Actual_Delivery_Date,Shipping_Date
TXN0174,ORD4261,C5,R4,93.41,2024-04-13,2024-04-16,2024-04-16,2024-04-15
TXN0175,ORD3274,C1,R17,207.8,2024-09-26,2024-09-28,2024-09-28,2024-09-25
TXN0176,ORD2456,C5,R65,194.04,2024-02-20,2024-02-25,2024-02-25,2024-02-23
TXN0177,ORD5944,C3,R262,16.05,2024-11-17,2024-11-21,2024-11-21,2024-11-18
TXN0178,ORD6935,C2,R242,240.1,2024-06-15,2024-06-17,2024-06-17,2024-06-16
TXN0179,ORD5682,C4,R48,205.54,2024-01-23,2024-01-28,2024-01-28,2024-01-26
TXN0180,ORD4582,C4,R20,209.1,2024-10-10,2024-10-11,2024-10-11,2024-10-08
TXN0181,ORD3069,C4,R300,256.17,2024-02-04,2024-02-06,2024-02-06,2024-02-04
TXN0182,ORD2083,C4,R128,186.31,2024-02-16,2024-02-17,2024-02-17,2024-02-16
TXN0183,ORD8147,C2,R122,112.95,2024-03-07,2024-03-11,2024-03-11,2024-03-10
TXN0184,ORD5986,C3,R258,201.96,2024-01-13,2024-01-15,2024-01-15,2024-01-12
TXN0185,ORD8363,C5,R196,101.93,2024-10-11,2024-10-15,2024-10-15,2024-10-14
TXN0186,ORD9254,C2,R259,64.9,2024-08-01,2024-08-04,2024-08-04,2024-08-01
TXN0187,ORD1848,C2,R122,214.06,2024-09-19,2024-09-24,2024-09-24,2024-09-23
TXN0188,ORD0356,C5,R59,196.44,2024-01-01,2024-01-02,2024-01-02,2024-01-01
TXN0189,ORD3222,C6,R33,22.04,2024-09-23,2024-09-26,2024-09-26,2024-09-23
TXN0190,ORD7292,C6,R206,86.77,2024-01-04,2024-01-08,2024-01-08,2024-01-06
TXN0191,ORD2090,C6,R17,166.79,2024-11-11,2024-11-13,2024-11-13,2024-11-12
TXN0192,ORD6833,C6,R56,58.45,2024-07-03,2024-07-07,2024-07-07,2024-07-05
TXN0193,ORD7865,C4,R21,12.49,2024-08-08,2024-08-09,2024-08-09,2024-08-06
TXN0194,ORD0095,C3,R91,37.91,2024-07-01,2024-07-04,2024-07-04,2024-07-02
TXN0195,ORD6530,C6,R291,236.32,2024-04-23,2024-04-25,2024-04-25,2024-04-23
TXN0196,ORD9518,C6,R63,109.95,2024-01-11,2024-01-16,2024-01-16,2024-01-15
TXN0197,ORD4404,C6,R170,237.39,2024-11-11,2024-11-16,2024-11-16,2024-11-13
TXN0198,ORD1875,C3,R216,42.71,2024-10-10,2024-10-12,2024-10-12,2024-10-10
TXN0199,ORD0793,C5,R151,249.56,2024-06-17,2024-06-22,2024-06-22,2024-06-19
TXN0200,ORD3859,C1,R132,237.28,2024-01-06,2024-01-09,2024-01-09,2024-01-08
TXN0201,ORD0314,C1,R67,150.11,2024-06-09,2024-06-10,2024-06-10,2024-06-09
TXN0202,ORD9918,C5,R153,271.52,2024-01-18,2024-01-22,2024-01-22,2024-01-19
TXN0203,ORD6110,C6,R299,229.65,2024-05-02,2024-05-05,2024-05-05,2024-05-02
TXN0204,ORD3514,C1,R70,74.72,2024-03-09,2024-03-11,2024-03-11,2024-03-10
TXN0205,ORD2173,C1,R266,286.23,2024-05-26,2024-05-31,2024-05-31,2024-05-29
TXN0206,ORD2658,C6,R141,217.78,2024-10-03,2024-10-05,2024-10-05,2024-10-03
TXN0207,ORD6274,C6,R53,282.86,2024-05-25,2024-05-30,2024-05-30,2024-05-27
TXN0208,ORD3104,C2,R58,129.49,2024-01-30,2024-02-04,2024-02-04,2024-02-01
TXN0209,ORD4546,C2,R50,184.69,2024-10-27,2024-11-01,2024-11-01,2024-10-30
TXN0210,ORD1982,C2,R192,236.55,2024-04-25,2024-04-29,2024-04-29,2024-04-26
TXN0211,ORD0521,C4,R38,23.43,2024-08-24,2024-08-27,2024-08-27,2024-08-24
TXN0212,ORD9022,C1,R176,115.91,2024-03-02,2024-03-06,2024-03-06,2024-03-04
TXN0213,ORD3554,C4,R278,133.4,2024-07-19,2024-07-21,2024-07-21,2024-07-20
TXN0214,ORD6140,C4,R138,232.4,2024-11-18,2024-11-21,2024-11-21,2024-11-18
TXN0215,ORD1748,C3,R66,263.71,2024-09-30,2024-10-05,2024-10-05,2024-10-03
TXN0216,ORD6710,C4,R202,296.64,2024-03-04,2024-03-05,2024-03-05,2024-03-04
TXN0217,ORD5260,C3,R81,283.14,2024-05-07,2024-05-09,2024-05-09,2024-05-07
TXN0218,ORD1014,C4,R181,138.28,2024-02-10,2024-02-13,2024-02-13,2024-02-11
TXN0219,ORD9776,C4,R22,260.54,2024-06-01,2024-06-04,2024-06-04,2024-06-02
TXN0220,ORD1533,C5,R259,293.8,2024-10-03,2024-10-08,2024-10-08,2024-10-06
TXN0221,ORD8844,C5,R215,259.05,2024-09-20,2024-09-24,2024-09-24,2024-09-22
TXN0222,ORD5516,C3,R243,132.89,2024-11-04,2024-11-08,2024-11-08,2024-11-07
TXN0223,ORD7899,C1,R293,113.4,2024-10-06,2024-10-08,2024-10-08,2024-10-06
TXN0224,ORD3376,C5,R259,220.3,2024-09-19,2024-09-23,2024-09-23,2024-09-22
TXN0225,ORD1371,C4,R205,181.62,2024-10-26,2024-10-27,2024-10-27,2024-10-24
TXN0226,ORD3766,C4,R177,44.85,2024-03-24,2024-03-29,2024-03-29,2024-03-26
TXN0227,ORD6216,C3,R115,281.05,2024-10-26,2024-10-29,2024-10-29,2024-10-26
TXN0228,ORD8380,C6,R153,36.32,2024-11-03,2024-11-06,2024-11-06,2024-11-03
TXN0229,ORD7688,C3,R236,93.84,2024-05-29,2024-05-30,2024-05-30,2024-05-29
TXN0230,ORD5271,C3,R21,257.62,2024-05-20,2024-05-23,2024-05-23,2024-05-20
TXN0231,ORD9519,C5,R175,83.62,2024-03-26,2024-03-29,2024-03-29,2024-03-26
TXN0232,ORD7922,C4,R153,50.67,2024-04-25,2024-04-26,2024-04-26,2024-04-25
TXN0233,ORD4846,C2,R268,33.69,2024-08-17,2024-08-18,2024-08-18,2024-08-17
TXN0234,ORD2225,C3,R120,269.47,2024-08-06,2024-08-07,2024-08-07,2024-08-05
TXN0235,ORD9038,C5,R140,204.26,2024-09-05,2024-09-08,2024-09-08,2024-09-05
TXN0236,ORD1116,C6,R194,138.53,2024-05-10,2024-05-12,2024-05-12,2024-05-10
TXN0237,ORD7710,C5,R32,253.38,2024-05-08,2024-05-12,2024-05-12,2024-05-11
TXN0238,ORD5509,C5,R60,27.57,2024-11-05,2024-11-08,2024-11-08,2024-11-06
TXN0239,ORD3732,C6,R290,42.52,2024-05-15,2024-05-20,2024-05-20,2024-05-17
TXN0240,ORD2069,C6,R219,236.04,2024-09-23,2024-09-24,2024-09-24,2024-09-22
TXN0241,ORD0070,C1,R3,136.5,2024-11-11,2024-11-15,2024-11-15,2024-11-14
TXN0242,ORD9630,C2,R208,174.83,2024-08-31,2024-09-04,2024-09-04,2024-09-02
TXN0243,ORD3899,C1,R141,81.47,2024-05-27,2024-05-28,2024-05-28,2024-05-26
TXN0244,ORD2122,C5,R100,181.43,2024-05-07,2024-05-09,2024-05-09,2024-05-06
TXN0245,ORD8110,C6,R153,51.77,2024-07-07,2024-07-08,2024-07-08,2024-07-07
TXN0246,ORD5374,C6,R39,191.8,2024-09-05,2024-09-09,2024-09-09,2024-09-06
TXN0247,ORD4479,C1,R72,216.74,2024-08-29,2024-08-30,2024-08-30,2024-08-28
TXN0248,ORD4963,C4,R41,20.1,2024-05-05,2024-05-07,2024-05-07,2024-05-05
TXN0249,ORD8897,C2,R215,66.23,2024-01-30,2024-02-01,2024-02-01,2024-01-31
TXN0250,ORD2523,C2,R153,218.54,2024-07-11,2024-07-15,2024-07-15,2024-07-13
TXN0251,ORD6108,C4,R97,111.05,2024-06-20,2024-06-21,2024-06-21,2024-06-20
TXN0252,ORD6437,C2,R128,184.97,2024-06-09,2024-06-11,2024-06-11,2024-06-09
TXN0253,ORD3559,C2,R167,105.06,2024-07-25,2024-07-30,2024-07-30,2024-07-29
TXN0254,ORD9323,C2,R244,72.73,2024-10-09,2024-10-13,2024-10-13,2024-10-10
TXN0255,ORD5488,C4,R286,94.18,2024-09-15,2024-09-20,2024-09-20,2024-09-17
TXN0256,ORD6917,C6,R215,280.42,2024-09-15,2024-09-19,2024-09-19,2024-09-16
TXN0257,ORD4280,C2,R219,120.72,2024-09-06,2024-09-08,2024-09-08,2024-09-07
TXN0258,ORD7279,C1,R252,133.33,2024-08-27,2024-08-28,2024-08-28,2024-08-25
TXN0259,ORD6123,C6,R227,111.3,2024-05-03,2024-05-08,2024-05-08,2024-05-05
TXN0260,ORD7282,C3,R138,224.24,2024-04-19,2024-04-20,2024-04-20,2024-04-19
TXN0261,ORD3265,C6,R278,162.39,2024-07-30,2024-08-03,2024-08-03,2024-07-31
TXN0262,ORD1225,C1,R32,35.77,2024-03-24,2024-03-25,2024-03-25,2024-03-22
TXN0263,ORD8509,C1,R188,222.52,2024-03-07,2024-03-11,2024-03-11,2024-03-08
TXN0264,ORD6348,C2,R165,258.95,2024-03-05,2024-03-09,2024-03-09,2024-03-06
TXN0265,ORD4904,C4,R268,96.42,2024-10-04,2024-10-05,2024-10-05,2024-10-04
TXN0266,ORD9067,C6,R88,90.97,2024-02-12,2024-02-14,2024-02-14,2024-02-12
TXN0267,ORD4444,C1,R246,263.61,2024-08-27,2024-08-31,2024-08-31,2024-08-30
TXN0268,ORD4493,C5,R145,187.95,2024-07-18,2024-07-22,2024-07-22,2024-07-21
TXN0269,ORD4738,C6,R57,231.92,2024-08-01,2024-08-04,2024-08-04,2024-08-01
TXN0270,ORD3706,C3,R215,97.85,2024-04-01,2024-04-06,2024-04-06,2024-04-03
TXN0271,ORD2018,C1,R97,225.46,2024-02-13,2024-02-14,2024-02-14,2024-02-11
TXN0272,ORD7005,C2,R216,188.03,2024-04-21,2024-04-24,2024-04-24,2024-04-21
TXN0273,ORD4703,C4,R232,137.37,2024-02-18,2024-02-19,2024-02-19,2024-02-16
TXN0274,ORD0122,C5,R169,47.35,2024-05-19,2024-05-22,2024-05-22,2024-05-20
TXN0275,ORD3838,C5,R5,194.39,2024-04-16,2024-04-19,2024-04-19,2024-04-17
TXN0276,ORD5569,C4,R91,140.56,2024-02-09,2024-02-13,2024-02-13,2024-02-12
